	taho	Spelling_1	Spelling_2
1	Sg+Nom	 taho    	
2	Sg+Gen	 tavo    	
3	Sg+Acc	 tavo    	
4	Sg+Ill	 tahon    	
5	Sg+Loc	 tavvoost    	
6	Sg+Com	 tavvoin    	
7	Sg+Abe	 tavottáá    	
8	Ess	 tahhoon    	
9	Par	 tahhood    	
10	Pl+Nom	 tavoh    	
11	Pl+Gen	 tavoi    	
12	Pl+Acc	 tavoid    	
13	Pl+Ill	 tavvoid    	
14	Pl+Loc	 tavoin    	
15	Pl+Com	 tavoiguin    	 tavoigijn    
16	Pl+Abe	 tavoittáá    	
	loho	Spelling_1	Spelling_2
1	Sg+Nom	 loho    	
2	Sg+Gen	 lovo    	
3	Sg+Acc	 lovo    	
4	Sg+Ill	 lohon    	
5	Sg+Loc	 lovvoost    	
6	Sg+Com	 lovvoin    	
7	Sg+Abe	 lovottáá    	
8	Ess	 lohhoon    	
9	Par	 lohhood    	
10	Pl+Nom	 lovoh    	
11	Pl+Gen	 lovoi    	
12	Pl+Acc	 lovoid    	
13	Pl+Ill	 lovvoid    	
14	Pl+Loc	 lovoin    	
15	Pl+Com	 lovoiguin    	 lovoigijn    
16	Pl+Abe	 lovoittáá    	
