	vašo	Spelling_1	Spelling_2
1	Sg+Nom	 vašo    	
2	Sg+Gen	 vašo    	
3	Sg+Acc	 vašo    	
4	Sg+Ill	 vašon    	
5	Sg+Loc	 vaašoost    	
6	Sg+Com	 vašoin    	
7	Sg+Abe	 vašottáá    	
8	Ess	 vaššoon    	
9	Par	 vaššood    	
10	Pl+Nom	 vašoh    	
11	Pl+Gen	 vašoi    	
12	Pl+Acc	 vašoid    	
13	Pl+Ill	 vašoid    	
14	Pl+Loc	 vašoin    	
15	Pl+Com	 vašoiguin    	 vašoigijn    
16	Pl+Abe	 vašoittáá    	
	kaco	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 kaco    			
2	Sg+Gen	 kaso    			
3	Sg+Acc	 kaso    			
4	Sg+Ill	 kacon    			
5	Sg+Loc	 kaasoost    			
6	Sg+Com	 kasoin    			
7	Sg+Abe	 kasottáá    			
8	Ess	 kaccoon    			
9	Par	 kaccood    			
10	Pl+Nom	 kasoh    			
11	Pl+Gen	 kasoi    			
12	Pl+Acc	 kasoid    			
13	Pl+Ill	 kasoid    			
14	Pl+Loc	 kasoin    			
15	Pl+Com	 kasoiguin    	 kasoigijn    	 kasoiguin    	 kasoigijn    
16	Pl+Abe	 kasoittáá    			
	višo	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 višo    			
2	Sg+Gen	 višo    			
3	Sg+Acc	 višo    			
4	Sg+Ill	 višon    			
5	Sg+Loc	 viišoost    			
6	Sg+Com	 višoin    			
7	Sg+Abe	 višottáá    			
8	Ess	 viššoon    			
9	Par	 viššood    			
10	Pl+Nom	 višoh    			
11	Pl+Gen	 višoi    			
12	Pl+Acc	 višoid    			
13	Pl+Ill	 višoid    			
14	Pl+Loc	 višoin    			
15	Pl+Com	 višoiguin    	 višoigijn    	 višoiguin    	 višoigijn    
16	Pl+Abe	 višoittáá    			
	oco	Spelling_1	Spelling_2	Spelling_3	Spelling_4
1	Sg+Nom	 oco    			
2	Sg+Gen	 oso    			
3	Sg+Acc	 oso    			
4	Sg+Ill	 ocon    			
5	Sg+Loc	 oosoost    			
6	Sg+Com	 osoin    			
7	Sg+Abe	 osottáá    			
8	Ess	 occoon    			
9	Par	 occood    			
10	Pl+Nom	 osoh    			
11	Pl+Gen	 osoi    			
12	Pl+Acc	 osoid    			
13	Pl+Ill	 osoid    			
14	Pl+Loc	 osoin    			
15	Pl+Com	 osoiguin    	 osoigijn    	 osoiguin    	 osoigijn    
16	Pl+Abe	 osoittáá    			
