	kielah	Spelling_1	Spelling_2
1	Pl+Nom	 kielah    
2	Pl+Gen	 kielâi    
3	Pl+Acc	 kielâid    
4	Pl+Ill	 kieláid 
5	Pl+Loc	 kielâin   
6	Pl+Com	 kielâiguin    kielâigijn  
7	Pl+Abe	 kielâittáá    
	čuovah	Spelling_1	Spelling_2
1	Pl+Nom	 čuovah    	
2	Pl+Gen	 čuovâi    	
3	Pl+Acc	 čuovâid    	
4	Pl+Ill	 čuováid    	
5	Pl+Loc	 čuovâin    	
6	Pl+Com	 čuovâiguin    	 čuovâigijn    
7	Pl+Abe	 čuovâittáá    	
	kuhesčuovah	Spelling_1	Spelling_2
1	Pl+Nom	 kuhesčuovah    	
2	Pl+Gen	 kuhesčuovâi    	
3	Pl+Acc	 kuhesčuovâid    	
4	Pl+Ill	 kuhesčuováid    	
5	Pl+Loc	 kuhesčuovâin    	
6	Pl+Com	 kuhesčuovâiguin    	 kuhesčuovâigijn    
7	Pl+Abe	 kuhesčuovâittáá    	
	heejah	Spelling_1	Spelling_2
1	Pl+Nom	 heejah    	
2	Pl+Gen	 hejâi    	 heejâi    
3	Pl+Acc	 heejâid    	
4	Pl+Ill	 heejáid    	
5	Pl+Loc	 heejâin    	
6	Pl+Com	 hejâiguin    	 hejâigijn    
7	Pl+Abe	 hejâittáá    	
	kuolah	Spelling_1	Spelling_2
1	Pl+Nom	 kuolah    	
2	Pl+Gen	 kuolâi    	
3	Pl+Acc	 kuolâid    	
4	Pl+Ill	 kuoláid    	
5	Pl+Loc	 kuolâin    	
6	Pl+Com	 kuolâiguin    	 kuolâigijn    
7	Pl+Abe	 kuolâittáá    	
	kyevtpiähtulaasah	Spelling_1	Spelling_2
1	Pl+Nom	 kyevtpiähtulaasah    	
2	Pl+Gen	 kyevtpiähtulasâi    	 kyevtpiähtulaasâi    
3	Pl+Acc	 kyevtpiähtulaasâid    	
4	Pl+Ill	 kyevtpiähtulaasáid    	
5	Pl+Loc	 kyevtpiähtulaasâin    	
6	Pl+Com	 kyevtpiähtulasâiguin    	 kyevtpiähtulasâigijn    
7	Pl+Abe	 kyevtpiähtulasâittáá    	
	káiduslaasah	Spelling_1	Spelling_2
1	Pl+Nom	 káiduslaasah    	
2	Pl+Gen	 káiduslasâi    	 káiduslaasâi    
3	Pl+Acc	 káiduslaasâid    	
4	Pl+Ill	 káiduslaasáid    	
5	Pl+Loc	 káiduslaasâin    	
6	Pl+Com	 káiduslasâiguin    	 káiduslasâigijn    
7	Pl+Abe	 káiduslasâittáá    	
	piäivášlaasah	Spelling_1	Spelling_2
1	Pl+Nom	 piäivášlaasah    	
2	Pl+Gen	 piäivášlasâi    	 piäivášlaasâi    
3	Pl+Acc	 piäivášlaasâid    	
4	Pl+Ill	 piäivášlaasáid    	
5	Pl+Loc	 piäivášlaasâin    	
6	Pl+Com	 piäivášlasâiguin    	 piäivášlasâigijn    
7	Pl+Abe	 piäivášlasâittáá    	
	syejilaasah	Spelling_1	Spelling_2
1	Pl+Nom	 syejilaasah    	
2	Pl+Gen	 syejilasâi    	 syejilaasâi    
3	Pl+Acc	 syejilaasâid    	
4	Pl+Ill	 syejilaasáid    	
5	Pl+Loc	 syejilaasâin    	
6	Pl+Com	 syejilasâiguin    	 syejilasâigijn    
7	Pl+Abe	 syejilasâittáá    	
	čalmelaasah	Spelling_1	Spelling_2
1	Pl+Nom	 čalmelaasah    	
2	Pl+Gen	 čalmelasâi    	 čalmelaasâi    
3	Pl+Acc	 čalmelaasâid    	
4	Pl+Ill	 čalmelaasáid    	
5	Pl+Loc	 čalmelaasâin    	
6	Pl+Com	 čalmelasâiguin    	 čalmelasâigijn    
7	Pl+Abe	 čalmelasâittáá    	
	kyeddimmuorah	Spelling_1	Spelling_2
1	Pl+Nom	 kyeddimmuorah    	
2	Pl+Gen	 kyeddimmuorâi    	
3	Pl+Acc	 kyeddimmuorâid    	
4	Pl+Ill	 kyeddimmuoráid    	
5	Pl+Loc	 kyeddimmuorâin    	
6	Pl+Com	 kyeddimmuorâiguin    	 kyeddimmuorâigijn    
7	Pl+Abe	 kyeddimmuorâittáá    	
	iärutiervuođah	Spelling_1	Spelling_2
1	Pl+Nom	 iärutiervuođah    	
2	Pl+Gen	 iärutiervuođâi    	
3	Pl+Acc	 iärutiervuođâid    	
4	Pl+Ill	 iärutiervuođáid    	
5	Pl+Loc	 iärutiervuođâin    	
6	Pl+Com	 iärutiervuođâiguin    	 iärutiervuođâigijn    
7	Pl+Abe	 iärutiervuođâittáá    	
	olmooškoskâvuođah	Spelling_1	Spelling_2
1	Pl+Nom	 olmooškoskâvuođah    	
2	Pl+Gen	 olmooškoskâvuođâi    	
3	Pl+Acc	 olmooškoskâvuođâid    	
4	Pl+Ill	 olmooškoskâvuođáid    	
5	Pl+Loc	 olmooškoskâvuođâin    	
6	Pl+Com	 olmooškoskâvuođâiguin    	 olmooškoskâvuođâigijn    
7	Pl+Abe	 olmooškoskâvuođâittáá    	
	tiervuođah	Spelling_1	Spelling_2
1	Pl+Nom	 tiervuođah    	
2	Pl+Gen	 tiervuođâi    	
3	Pl+Acc	 tiervuođâid    	
4	Pl+Ill	 tiervuođáid    	
5	Pl+Loc	 tiervuođâin    	
6	Pl+Com	 tiervuođâiguin    	 tiervuođâigijn    
7	Pl+Abe	 tiervuođâittáá    	
	vuosah	Spelling_1	Spelling_2
1	Pl+Nom	 vuosah    	
2	Pl+Gen	 vuosâi    	
3	Pl+Acc	 vuosâid    	
4	Pl+Ill	 vuosáid    	
5	Pl+Loc	 vuosâin    	
6	Pl+Com	 vuosâiguin    	 vuosâigijn    
7	Pl+Abe	 vuosâittáá    	
