	kietâ	Spelling_1	Spelling_2
1	Sg+Nom	 kietâ    	
2	Sg+Gen	 kieđâ    	
3	Sg+Acc	 kieđâ    	
4	Sg+Ill	 kietân    	
5	Sg+Loc	 kieđâst    	
6	Sg+Com	 kieđáin    	
7	Sg+Abe	 kieđâttáá    	
8	Ess	 kiettân    	
9	Par	 kiettâd    	
10	Pl+Nom	 kieđah    	
11	Pl+Gen	 kieđâi    	
12	Pl+Acc	 kieđâid    	
13	Pl+Ill	 kieđáid    	
14	Pl+Loc	 kieđâin    	
15	Pl+Com	 kieđâiguin    	 kieđâigijn    
16	Pl+Abe	 kieđâittáá    	
	mietâ	Spelling_1	Spelling_2
1	Sg+Nom	 mietâ    	
2	Sg+Gen	 mieđâ    	
3	Sg+Acc	 mieđâ    	
4	Sg+Ill	 mietân    	
5	Sg+Loc	 mieđâst    	
6	Sg+Com	 mieđáin    	
7	Sg+Abe	 mieđâttáá    	
8	Ess	 miettân    	
9	Par	 miettâd    	
10	Pl+Nom	 mieđah    	
11	Pl+Gen	 mieđâi    	
12	Pl+Acc	 mieđâid    	
13	Pl+Ill	 mieđáid    	
14	Pl+Loc	 mieđâin    	
15	Pl+Com	 mieđâiguin    	 mieđâigijn    
16	Pl+Abe	 mieđâittáá    	
	kuosâ	Spelling_1	Spelling_2
1	Sg+Nom	 kuosâ    	
2	Sg+Gen	 kuosâ    	
3	Sg+Acc	 kuosâ    	
4	Sg+Ill	 kuosân    	
5	Sg+Loc	 kuosâst    	
6	Sg+Com	 kuosáin    	
7	Sg+Abe	 kuosâttáá    	
8	Ess	 kuossân    	
9	Par	 kuossâd    	
10	Pl+Nom	 kuosah    	
11	Pl+Gen	 kuosâi    	
12	Pl+Acc	 kuosâid    	
13	Pl+Ill	 kuosáid    	
14	Pl+Loc	 kuosâin    	
15	Pl+Com	 kuosâiguin    	 kuosâigijn    
16	Pl+Abe	 kuosâittáá    	
	luosâ	Spelling_1	Spelling_2
1	Sg+Nom	 luosâ    	
2	Sg+Gen	 luosâ    	
3	Sg+Acc	 luosâ    	
4	Sg+Ill	 luosân    	
5	Sg+Loc	 luosâst    	
6	Sg+Com	 luosáin    	
7	Sg+Abe	 luosâttáá    	
8	Ess	 luossân    	
9	Par	 luossâd    	
10	Pl+Nom	 luosah    	
11	Pl+Gen	 luosâi    	
12	Pl+Acc	 luosâid    	
13	Pl+Ill	 luosáid    	
14	Pl+Loc	 luosâin    	
15	Pl+Com	 luosâiguin    	 luosâigijn    
16	Pl+Abe	 luosâittáá    	
	suosâ	Spelling_1	Spelling_2
1	Sg+Nom	 suosâ    	
2	Sg+Gen	 suosâ    	
3	Sg+Acc	 suosâ    	
4	Sg+Ill	 suosân    	
5	Sg+Loc	 suosâst    	
6	Sg+Com	 suosáin    	
7	Sg+Abe	 suosâttáá    	
8	Ess	 suossân    	
9	Par	 suossâd    	
10	Pl+Nom	 suosah    	
11	Pl+Gen	 suosâi    	
12	Pl+Acc	 suosâid    	
13	Pl+Ill	 suosáid    	
14	Pl+Loc	 suosâin    	
15	Pl+Com	 suosâiguin    	 suosâigijn    
16	Pl+Abe	 suosâittáá    	
	tuotâ	Spelling_1	Spelling_2
1	Sg+Nom	 tuotâ    	
2	Sg+Gen	 tuođâ    	
3	Sg+Acc	 tuođâ    	
4	Sg+Ill	 tuotân    	
5	Sg+Loc	 tuođâst    	
6	Sg+Com	 tuođáin    	
7	Sg+Abe	 tuođâttáá    	
8	Ess	 tuottân    	
9	Par	 tuottâd    	
10	Pl+Nom	 tuođah    	
11	Pl+Gen	 tuođâi    	
12	Pl+Acc	 tuođâid    	
13	Pl+Ill	 tuođáid    	
14	Pl+Loc	 tuođâin    	
15	Pl+Com	 tuođâiguin    	 tuođâigijn    
16	Pl+Abe	 tuođâittáá    	
