	ráávhu	Spelling_1	Spelling_2
1	Sg+Nom	 ráávhu    	
2	Sg+Gen	 ráávhu    	 ráávho    
3	Sg+Acc	 ráávhu    	 ráávho    
4	Sg+Ill	 ráávhun    	
5	Sg+Loc	 ráávhust    	 ráávhoost    
6	Sg+Com	 ráávhoin    	 ráávhooin    
7	Sg+Abe	 ráávhuttáá    	 ráávhottáá    
8	Ess	 ráávhun    	
9	Par	 ráávhud    	
10	Pl+Nom	 ráávhuh    	
11	Pl+Gen	 rávhui    	 ráávhui    
12	Pl+Acc	 ráávhuid    	
13	Pl+Ill	 rávhoid    	
14	Pl+Loc	 ráávhuin    	
15	Pl+Com	 rávhuiguin    	 rávhuigijn    
16	Pl+Abe	 rávhuittáá    	
